seed,policy,mrt,ratio
12,nn_full_500,25.291347008370362,1.0166880463396104
15,genie,27.994285163962058,1.0
15,fcfs,30.957680936100544,1.1058571688750731
15,static,31.26531805267973,1.1168464516796657
15,kupd_500,28.42737901478307,1.0154707951385216
15,nn_tail_only_500,31.296324457071314,1.1179540493271847
15,nn_no_hazard_500,28.92898011267877,1.0333887771465575
15,nn_full_500,28.71529445755285,1.0257555886627523
14,genie,25.925361350361353,1.0
14,fcfs,28.4020002970003,1.0955295825261246
14,static,28.98652014652015,1.1180758391287045
14,kupd_500,26.163562023562026,1.0091879403330806
14,nn_tail_only_500,28.59008118008118,1.1027842888555413
14,nn_no_hazard_500,26.42784625284625,1.0193819825958914
14,nn_full_500,26.323413028413032,1.015353756218566
13,genie,25.892818547990963,1.0
13,fcfs,29.15987179487179,1.1261760376077066
13,static,29.2340971608213,1.1290426767034827
13,kupd_500,26.16717653993516,1.0105959106551374
13,nn_tail_only_500,29.445071225071224,1.1371906527092193
13,nn_no_hazard_500,26.53418410452893,1.024770017035775
13,nn_full_500,26.31392327340603,1.01626337915413
17,genie,24.960050383013726,1.0
17,fcfs,27.37816667523521,1.0968794635874255
17,static,27.445215670145494,1.0995657159739958
17,kupd_500,25.155678371291962,1.0078376439661103
17,nn_tail_only_500,27.52160608709064,1.1026262232956128
17,nn_no_hazard_500,25.488134800267336,1.021157185548511
17,nn_full_500,25.303908282350527,1.0137763303382916
18,genie,25.316715321169706,1.0
18,fcfs,28.36241289677581,1.1203038204983609
18,static,28.462436890777308,1.1242547277441306
18,kupd_500,25.541486628342916,1.008878375583947
18,nn_tail_only_500,28.566667833041738,1.1283718077421536
18,nn_no_hazard_500,25.977950012496876,1.0261185024573172
18,nn_full_500,25.745902024493876,1.0169527009282
16,genie,24.884894918444168,1.0
16,fcfs,27.374303115851106,1.1000369182014043
16,static,27.41944688414889,1.1018510214333341
16,kupd_500,25.198228251777497,1.0125913062667222
16,nn_tail_only_500,27.633452530322042,1.110450842604953
16,nn_no_hazard_500,25.417187369301548,1.0213901827836473
16,nn_full_500,25.328630803011293,1.0178315353961265
19,genie,27.060260190806588,1.0
19,fcfs,29.267110861690732,1.0815531948075612
19,static,29.2884852813632,1.0823430770748326
19,kupd_500,27.361774909443398,1.0111423436622848
19,nn_tail_only_500,29.54958012346309,1.0919917219976407
19,nn_no_hazard_500,27.730483648793427,1.0247678127727147
19,nn_full_500,27.51800418346003,1.0169157276916707
