dist,trial,policy,spearman_vs_true,spearman_vs_empirical
1-6-14,7,labelfree_no_hazard|mlp8|seed1,0.9122038219216843,0.912893437266498
1-6-14,7,labelfree_no_hazard|mlp8|seed2,0.9207170872910767,0.8996997809996898
1-6-14,7,labelfree_full|mlp8|seed0,0.8840272343856389,0.8640210037194185
1-6-14,7,labelfree_full|mlp8|seed1,0.8956747655669299,0.9082007199883737
1-6-14,7,labelfree_full|mlp8|seed2,0.9054471281505133,0.9410345495666607
1-6-14,8,empirical_gittins,0.9535259944536354,1.0
1-6-14,8,fcfs,,
1-6-14,8,mean_excess,0.7837833399801862,0.6947565644782497
1-6-14,8,imitation_tail_only,0.6772650514553972,0.6143572004134129
1-6-14,8,imitation_no_hazard,0.9765001412503144,0.9412619607570565
1-6-14,8,imitation_full,0.9458080374453598,0.9906081516071177
1-6-14,8,labelfree_tail_only|linear|seed0,0.7804645033668088,0.6922067688481216
1-6-14,8,labelfree_tail_only|linear|seed1,0.7804645033668088,0.6922067688481216
1-6-14,8,labelfree_tail_only|linear|seed2,0.7804645033668088,0.6922067688481216
1-6-14,8,labelfree_no_hazard|linear|seed0,0.9262497752152913,0.8618594522068772
1-6-14,8,labelfree_no_hazard|linear|seed1,0.9488039800642177,0.8817789038401719
1-6-14,8,labelfree_no_hazard|linear|seed2,0.9159883557111088,0.8495577458796555
1-6-14,8,labelfree_full|linear|seed0,0.953033885062553,0.8967718187078916
1-6-14,8,labelfree_full|linear|seed1,0.9448894530916664,0.8974012746972128
1-6-14,8,labelfree_full|linear|seed2,0.9498288957677472,0.8887191150667378
1-6-14,8,labelfree_tail_only|mlp8|seed0,0.7709588916181067,0.6852579748731803
1-6-14,8,labelfree_tail_only|mlp8|seed1,0.7734775452374368,0.6868055530166399
1-6-14,8,labelfree_tail_only|mlp8|seed2,0.7719409050130608,0.6857217781024679
1-6-14,8,labelfree_no_hazard|mlp8|seed0,0.948518510180456,0.8986913262915593
1-6-14,8,labelfree_no_hazard|mlp8|seed1,0.9308758520341647,0.8754691514207202
1-6-14,8,labelfree_no_hazard|mlp8|seed2,0.936375784920503,0.883098241307234
1-6-14,8,labelfree_full|mlp8|seed0,0.8957271900798837,0.8637878626566525
1-6-14,8,labelfree_full|mlp8|seed1,0.9328235332208967,0.8995315602083478
1-6-14,8,labelfree_full|mlp8|seed2,0.939897981485253,0.9405120931361507
1-6-14,9,empirical_gittins,0.9412783010756279,1.0
1-6-14,9,fcfs,,
1-6-14,9,mean_excess,0.8047460860423983,0.6772954061329372
1-6-14,9,imitation_tail_only,0.6881123713311292,0.5829387742128007
1-6-14,9,imitation_no_hazard,0.9676155709600853,0.9284981151949889
1-6-14,9,imitation_full,0.940044739131033,0.9899795817315941
1-6-14,9,labelfree_tail_only|linear|seed0,0.7986846571610343,0.6723462123027545
1-6-14,9,labelfree_tail_only|linear|seed1,0.7986809366090725,0.6723417829186588
1-6-14,9,labelfree_tail_only|linear|seed2,0.7986823281412372,0.6723429719273688
1-6-14,9,labelfree_no_hazard|linear|seed0,0.9410945423546657,0.878548114072862
1-6-14,9,labelfree_no_hazard|linear|seed1,0.9660582504771749,0.900139901410697
1-6-14,9,labelfree_no_hazard|linear|seed2,0.9287880801433157,0.8647201714303612
1-6-14,9,labelfree_full|linear|seed0,0.9578521337799947,0.9152432028875743
1-6-14,9,labelfree_full|linear|seed1,0.953980061604501,0.9162354388223898
1-6-14,9,labelfree_full|linear|seed2,0.9591938778386064,0.9004018622417743
1-6-14,9,labelfree_tail_only|mlp8|seed0,0.7892009081465559,0.664220004136999
1-6-14,9,labelfree_tail_only|mlp8|seed1,0.7912238006668458,0.6659404311438025
1-6-14,9,labelfree_tail_only|mlp8|seed2,0.7902060386145865,0.6648152548889813
1-6-14,9,labelfree_no_hazard|mlp8|seed0,0.9583343911373225,0.9249434299299308
1-6-14,9,labelfree_no_hazard|mlp8|seed1,0.9445865563907697,0.9070796830405258
1-6-14,9,labelfree_no_hazard|mlp8|seed2,0.9596083682328077,0.8995038258486644
1-6-14,9,labelfree_full|mlp8|seed0,0.8980394657598355,0.863176241987092
1-6-14,9,labelfree_full|mlp8|seed1,0.9299889920006239,0.9072946551620036
1-6-14,9,labelfree_full|mlp8|seed2,0.9409866365482488,0.9457224661175432
1-6-14,10,empirical_gittins,0.9335569827151681,1.0
1-6-14,10,fcfs,,
1-6-14,10,mean_excess,0.8042360568359916,0.6769514715293221
1-6-14,10,imitation_tail_only,0.687505362788572,0.5893261759886622
1-6-14,10,imitation_no_hazard,0.9685063410030189,0.9274604385196765
1-6-14,10,imitation_full,0.9349181288457655,0.99319738551748
1-6-14,10,labelfree_tail_only|linear|seed0,0.7988834764022213,0.6730575351616093
1-6-14,10,labelfree_tail_only|linear|seed1,0.7988829864261069,0.6730571333811914
1-6-14,10,labelfree_tail_only|linear|seed2,0.7988834764022213,0.6730575351616093
1-6-14,10,labelfree_no_hazard|linear|seed0,0.9455152407854341,0.877576835449971
1-6-14,10,labelfree_no_hazard|linear|seed1,0.971463304388724,0.9017216320298357
1-6-14,10,labelfree_no_hazard|linear|seed2,0.9327203507842226,0.8628729689644653
1-6-14,10,labelfree_full|linear|seed0,0.9607889166828023,0.9173659260134298
1-6-14,10,labelfree_full|linear|seed1,0.9519761017612709,0.9158211521704168
1-6-14,10,labelfree_full|linear|seed2,0.962944563331523,0.9017095149204083
1-6-14,10,labelfree_tail_only|mlp8|seed0,0.7900008104858235,0.666041949292378
1-6-14,10,labelfree_tail_only|mlp8|seed1,0.7920885366455683,0.6676271053338805
1-6-14,10,labelfree_tail_only|mlp8|seed2,0.7911078037215268,0.6666322839535478
1-6-14,10,labelfree_no_hazard|mlp8|seed0,0.9595614350540647,0.9260085559825924
1-6-14,10,labelfree_no_hazard|mlp8|seed1,0.946257975978183,0.9064039189544353
1-6-14,10,labelfree_no_hazard|mlp8|seed2,0.9627072678993273,0.9002235806762945
