true_gittins,empirical_gittins,fcfs,mean_excess,imitation_tail_only,imitation_no_hazard,imitation_full,labelfree_tail_only|linear|seed0,labelfree_tail_only|linear|seed1,labelfree_tail_only|linear|seed2,labelfree_no_hazard|linear|seed0,labelfree_no_hazard|linear|seed1,labelfree_no_hazard|linear|seed2,labelfree_full|linear|seed0,labelfree_full|linear|seed1,labelfree_full|linear|seed2,labelfree_tail_only|mlp8|seed0,labelfree_tail_only|mlp8|seed1,labelfree_tail_only|mlp8|seed2,labelfree_no_hazard|mlp8|seed0,labelfree_no_hazard|mlp8|seed1,labelfree_no_hazard|mlp8|seed2,labelfree_full|mlp8|seed0,labelfree_full|mlp8|seed1,labelfree_full|mlp8|seed2,dist,trial
26.653107248834257,26.98496917029558,139.59499055840303,27.296816062276005,27.41451886392539,30.587427453851788,26.9976189833905,27.343303210142974,27.343303210142974,27.343303210142974,26.75867258853906,26.881678870091335,26.865640679794982,26.92017900497129,26.914892674091483,26.868346757100465,27.0748751396971,27.15657462715326,27.13198697444988,26.897066746310074,26.93891171143397,27.080987706655364,27.244721761917603,28.43928532891441,27.01813229796909,bounded-Pareto,0
25.205822230153068,25.7327408993576,132.95676262986754,25.911425965580143,25.99090629708938,26.663548060908873,25.694129589975418,25.960368585930684,25.960368585930684,25.960368585930684,25.47285212943136,25.477738718375765,25.499946863351575,25.5333527638988,25.546503093028793,25.497315607899118,25.75593564120866,25.820773257197242,25.7376017130621,25.395048774684753,25.56617416131335,25.408108493932904,26.090890831945433,25.78611487826156,25.565858712031087,bounded-Pareto,1
24.804742691775363,25.280682799983225,120.4768447762446,25.583168854590447,25.26522941743908,26.62577695759762,25.26429581009101,25.602056997861006,25.602056997861006,25.602056997861006,25.02016902235457,25.010458415467852,25.101646814578704,25.07279264354318,24.998984397936507,25.097323113702135,25.345955206978992,24.930907603908903,25.323298032965653,25.217673321310237,24.96648156691692,25.13767772511849,25.307770205091643,25.30194879000126,24.855376630457577,bounded-Pareto,2
26.175980780902286,26.953269674286872,138.75276734776452,27.1860904309124,26.988611976532468,30.216377705846654,26.920109852316408,27.172676714545826,27.172676714545826,27.172676714545826,26.822304470969048,26.82797774630791,26.828628767954687,26.816961561804575,26.777404814889742,26.804102973902488,27.11393303661744,27.218660327736192,27.19445336839976,26.919450131499087,26.845445883066965,27.166221930002024,27.157573942949625,27.111348776046935,27.010635848674895,bounded-Pareto,3
27.20564827975623,27.94369497069647,145.54266418738683,28.542919059950542,28.84811016569638,31.070628711618216,27.899926011020465,28.606417959851242,28.606417959851242,28.606417959851242,27.59984150781752,27.613852294631908,27.665728888802352,27.594560447049204,27.565988434354253,27.6031517358204,27.866968983040945,27.911879514788065,27.843502988765362,27.649989291068753,27.57572382639849,27.71856928678518,28.041825386008295,27.748585836951655,27.578480500009736,bounded-Pareto,4
26.073396520581806,26.92630497195551,133.80210647399943,26.892670405932122,26.452263713280733,28.11963703774123,26.875535887441774,26.888028519821276,26.888028519821276,26.888028519821276,26.358300408784107,26.418902177013027,26.413902652343378,26.59544405361726,26.647594638273603,26.384248692841528,26.738128719460022,26.641038121494436,26.72159140602719,26.533668409544635,27.119931362296796,26.27658028329689,27.645577716512978,26.774133853027852,26.441042494533704,bounded-Pareto,5
25.751413874026095,27.068996902281047,145.42431540411152,27.172394067398855,28.995915516755844,30.87953552989768,26.92085666009575,27.184898526236744,27.184898526236744,27.184898526236744,26.59223880597015,26.641705622829253,26.543519008729938,26.646730310710595,26.614711724396887,26.614996714540506,26.9160264714165,27.06806477048719,26.72688256829062,26.596934009199284,26.55445620951845,26.710214211959073,26.764355205106543,26.66810532244438,26.684092556087485,bounded-Pareto,6
24.5170831808013,25.436596501932073,122.67920968069961,25.349458002847268,25.100860890787068,27.572582265609114,25.348007524913566,25.351629245474882,25.351629245474882,25.351629245474882,25.215155175920277,25.232348179784424,25.12533150294895,24.99644254626805,25.026902989627818,25.20707240187106,25.258102908277404,25.336435631482612,25.21581716493797,25.13280435224731,24.978527760829774,26.085193207240184,25.23183018100468,25.324599552572707,25.190927598128944,bounded-Pareto,7
24.65487331970514,25.274935679035288,115.65724359371451,25.427233682297796,26.21113031448099,28.433345929092077,25.244840281649427,25.432394433087612,25.432394433087612,25.432394433087612,25.172996964628634,25.175651985380657,25.18615271841252,25.200590348757977,25.23620599227736,25.15384046748849,25.153900968428008,25.30468046005493,25.138426975572486,25.25067686716637,25.249051601313266,25.031460901525946,25.233012451217245,26.876476697846336,25.861614941460694,bounded-Pareto,8
23.275017798936354,23.762995153542633,103.67444072739748,24.118183007376906,23.64215345685366,26.647765911820212,23.707324583976668,24.253704752101562,24.253704752101562,24.253704752101562,23.57519900497513,23.495558414822437,23.689566392177042,23.70710627895007,23.543919411562875,23.60735053182364,23.84585906673529,23.449843884028137,23.798192014067595,23.564096757591354,23.554419926230914,23.44671062789501,23.895242966203465,23.69516126265226,23.443017026934296,bounded-Pareto,9
24.66216813882102,25.078162208440354,117.85946751863686,25.588919793689573,25.028069494038295,27.616104951032593,25.06890914406231,25.605282215122468,25.605282215122468,25.605282215122468,24.80659880139489,24.94360771784752,24.816713023867695,25.016801770761557,25.005311658209614,24.873636534486,25.09662803566581,24.646719914802983,25.098796800935503,24.967660631877884,24.93268892647581,24.876091377978245,25.414992795840384,25.489024828248663,25.040495729708283,bounded-Pareto,10
26.89960144107439,27.692183114531463,134.26528217896484,27.735552851969217,27.54442300437604,29.49706069865701,27.698474988682662,27.74813810925004,27.74813810925004,27.74813810925004,27.12743247321563,27.124796476535384,27.14668175645088,27.136147200845027,27.42096725516825,27.111589897389468,27.32326486343745,27.425762599969826,27.28659272672401,27.049167043911275,27.44713822242342,27.54940018107741,27.690423457069567,28.6917038252603,27.81364644635582,bounded-Pareto,11
23.60873663982035,23.93562304320601,109.49939541813313,23.995006801546,24.048533241206577,25.589253341394425,23.918125580290628,23.98700667199275,23.98700667199275,23.98700667199275,23.67046315289444,23.61812881912206,23.67616068922333,23.7400367067562,23.708224472610283,23.630730248526337,23.813014056528406,24.017069505322482,23.910212467341783,23.861499147107722,23.804907693304255,23.847193012760997,24.552369960918103,24.330157839051672,23.73818927730875,bounded-Pareto,12
26.381913381630117,26.62143784914823,131.49061035551432,27.099321147278864,26.80824295781599,28.894847904617148,26.577330780315442,27.123645551629522,27.123645551629522,27.123645551629522,26.49760022898202,26.497397303539348,26.50846246471506,26.462966698908385,26.426213900787616,26.47662567362167,26.838354093053557,26.87752205925897,26.49863499082098,26.513482698039834,26.389283049408796,26.605751001796328,26.812366410706883,26.68405653487041,26.58166248840285,bounded-Pareto,13
26.014683789726167,26.284000199880072,136.41462802318608,26.787671597041776,26.430926644013592,27.395702178692783,26.26932520487707,26.835448930641615,26.83544773136118,26.835448930641615,26.17272016789926,26.16870097941235,26.214597641415153,26.19605136917849,26.197132320607633,26.19576853887668,26.452556466120328,26.54570517689386,26.353938037177695,26.149856685988407,26.13713591844893,26.172443733759742,26.460246052368575,26.434515090945432,26.060269838097142,bounded-Pareto,14
24.31752855099799,24.778099570957785,117.13037204385765,25.27768690281261,24.908310361265986,27.18458888635563,24.75269280991564,25.32245362405953,25.32245362405953,25.32245362405953,24.563501564864136,24.56552967023856,24.5848276576782,24.592713743859726,24.599305034509918,24.579342757062612,24.865845752067486,24.896139449084917,24.77897444400688,24.5391543515659,24.542119302754575,24.576788608618156,25.281612742761208,24.703577424503077,24.50950048707692,bounded-Pareto,15
24.708417718898783,25.10727137238667,121.6999223763196,25.47006499689505,24.967543779755744,27.544345684123375,25.13977934175119,25.517672324570484,25.517672324570484,25.517672324570484,24.966273235354997,24.952083005588904,24.930969157524324,24.985064789898573,24.963002276961294,24.89803456841233,25.183954460774164,25.228103912233497,25.131660318774586,25.00383440281516,24.860182363899817,25.177104326226456,26.992118194990685,25.52413682467398,25.21038646243014,bounded-Pareto,16
26.496616285321704,26.96571161160563,129.80485194256926,27.185941414262107,26.65086584224466,27.1289224764522,26.996579445207797,27.16148634924428,27.16148634924428,27.16148634924428,26.551343568910927,26.546353426130594,26.639979289881914,26.70375331063186,26.78422884680487,26.568379234123903,26.877644423203296,27.06956229961965,26.85794611386582,26.663864826652325,26.755522830913836,27.077785212179144,27.67327359260808,27.276633610132027,27.21740147758727,bounded-Pareto,17
