gen,best,pop_mean,sigma,seed,val,val_ratio
100,25.160728483103824,25.8526548663455,0.9982905045367759,1,27.188233936285414,1.0068204136001535
101,26.0460835599389,26.79319031400328,1.0390472227617582,1,,
102,25.9498658682607,26.471990446372025,1.0497312593574095,1,,
103,28.389012238546158,30.085731480197754,1.0484341467960745,1,,
104,28.754613671418376,30.08458610976779,1.0682046889405907,1,,
105,27.324926760066617,27.903006047065467,1.0942280923347658,1,27.188792008674483,1.0068410798440477
106,26.843148539697474,27.309474149326732,1.0841604898557136,1,,
107,25.97788708995307,26.589391196929103,1.0842375751909332,1,,
108,26.26910690824038,26.890707962697483,1.1055819485603822,1,,
109,27.00087922089977,28.02687282193454,1.1272012558212352,1,,
110,26.590645430550556,27.323588764772794,1.145502983205537,1,27.18984579071336,1.0068801029475973
111,26.54257245114399,26.727172587282368,1.1585241187917907,1,,
112,26.80989775208059,27.063626516616303,1.1949726455631366,1,,
113,28.744756402478085,29.739782580129244,1.229141759839913,1,,
114,27.817376971004244,29.64231438181554,1.2634093654528895,1,,
115,28.607604328898326,28.819123293762846,1.2800344274111448,1,27.187986853343755,1.0068112637543012
116,26.607143327326863,26.902914934008137,1.2906685017484136,1,,
117,27.25390371692827,27.782647648338,1.2925301304254837,1,,
118,26.745223178240273,27.18658158136541,1.3110065357819052,1,,
119,26.32245702852456,27.254091327535335,1.3375917159930606,1,,
120,26.81021485489766,27.150234247343242,1.3674745017243743,1,27.18709087923044,1.0067780845110499
121,27.681646511775313,28.555132168970744,1.4020860374878616,1,,
122,27.835927680820078,30.8039373420387,1.398359954303859,1,,
123,27.08322215975297,29.10685257632327,1.4226797161675113,1,,
124,27.861848750872014,28.650534064066186,1.4329039466971842,1,,
125,26.547461555765974,27.96932618789687,1.4291363041933376,1,27.18723261842285,1.0067833333224534
126,25.261227981596544,27.104561345606996,1.4542678319952123,1,,
127,25.204078675744668,26.484256394490735,1.486295016775429,1,,
128,26.369617420594622,27.72718843153175,1.4685124240019705,1,,
129,25.527703701301277,26.67949231627562,1.4435006386660363,1,,
130,24.896514464958702,25.938274865802406,1.4025450596569602,1,27.18646514316049,1.006754912581228
131,28.299109550225978,28.653578901339642,1.3563673800876095,1,,
132,28.008261094259684,29.432974308819354,1.3417957074859872,1,,
133,28.354419822466312,29.058396086273454,1.3127353011484404,1,,
