model,seed,policy,mrt,ratio,n_jobs,n_busy
tail drift α 2.0→1.2,19,kupd_500,17.842919728397355,1.03213582839348,21502,4000
tail drift α 2.0→1.2,19,kupd_2000,17.417033764301,1.007500165113879,21502,4000
tail drift α 2.0→1.2,18,genie,18.426311679267805,1.0,20104,4000
tail drift α 2.0→1.2,18,fcfs,66.10462644249901,3.5875126608694035,20104,4000
tail drift α 2.0→1.2,18,static,18.83341971746916,1.0220938430483302,20104,4000
tail drift α 2.0→1.2,18,kupd_50,19.232609928372465,1.043757983862384,20104,4000
tail drift α 2.0→1.2,18,kupd_200,18.960665041782732,1.0289994748713684,20104,4000
tail drift α 2.0→1.2,18,kupd_500,18.916106744926385,1.0265812862706358,20104,4000
tail drift α 2.0→1.2,18,kupd_2000,18.617445781933945,1.0103728899192124,20104,4000
tail drift α 2.0→1.2,20,genie,18.76650695739492,1.0,20913,4000
tail drift α 2.0→1.2,20,fcfs,67.61409601683162,3.60291322036296,20913,4000
tail drift α 2.0→1.2,20,static,18.87452015492756,1.005755636772355,20913,4000
tail drift α 2.0→1.2,20,kupd_50,19.620573327595277,1.0455101405999168,20913,4000
tail drift α 2.0→1.2,20,kupd_200,19.213523167407836,1.023819894188501,20913,4000
tail drift α 2.0→1.2,20,kupd_500,19.200505905417682,1.023126250879189,20913,4000
tail drift α 2.0→1.2,20,kupd_2000,18.922545784918473,1.0083147507353287,20913,4000
tail drift α 2.0→1.2,22,genie,19.57361587301587,1.0,22050,4000
tail drift α 2.0→1.2,22,fcfs,81.78974058956916,4.178570843536592,22050,4000
tail drift α 2.0→1.2,22,static,20.566023582766437,1.050701296898275,22050,4000
tail drift α 2.0→1.2,22,kupd_50,21.687878911564624,1.108015966608575,22050,4000
tail drift α 2.0→1.2,22,kupd_200,20.59447120181406,1.0521546624507705,22050,4000
tail drift α 2.0→1.2,22,kupd_500,20.332243990929708,1.0387576890665193,22050,4000
tail drift α 2.0→1.2,22,kupd_2000,19.735980498866212,1.0082950757235496,22050,4000
tail drift α 2.0→1.2,21,genie,16.495439918533606,1.0,19640,4000
tail drift α 2.0→1.2,21,fcfs,52.68909368635438,3.1941611710006628,19640,4000
tail drift α 2.0→1.2,21,static,17.327468940936864,1.0504399413724288,19640,4000
tail drift α 2.0→1.2,21,kupd_50,18.05975560081466,1.094833219969081,19640,4000
tail drift α 2.0→1.2,21,kupd_200,17.291140529531567,1.0482376108141223,19640,4000
tail drift α 2.0→1.2,21,kupd_500,16.889876782077394,1.0239118729474208,19640,4000
tail drift α 2.0→1.2,21,kupd_2000,16.662172097759672,1.0101077740302478,19640,4000
tail drift α 2.0→1.2,23,genie,16.844642912073827,1.0,19505,4000
tail drift α 2.0→1.2,23,fcfs,63.826429120738275,3.7891233108295252,19505,4000
tail drift α 2.0→1.2,23,static,18.893655985644706,1.1216418231164875,19505,4000
tail drift α 2.0→1.2,23,kupd_50,18.01952217380159,1.0697479470393307,19505,4000
tail drift α 2.0→1.2,23,kupd_200,17.320360420405024,1.0282414718325799,19505,4000
tail drift α 2.0→1.2,23,kupd_500,17.213269930786975,1.0218839319205113,19505,4000
tail drift α 2.0→1.2,23,kupd_2000,17.251301717508333,1.0241417290682382,19505,4000
tail drift α 2.0→1.2,24,genie,18.080257647399403,1.0,20726,4000
tail drift α 2.0→1.2,24,fcfs,63.82017514233331,3.5298266422388602,20726,4000
tail drift α 2.0→1.2,24,static,18.81280372479012,1.0405163516846279,20726,4000
tail drift α 2.0→1.2,24,kupd_50,19.29288767731352,1.067069289252553,20726,4000
tail drift α 2.0→1.2,24,kupd_200,18.517867895397085,1.0242037617235298,20726,4000
tail drift α 2.0→1.2,24,kupd_500,18.53566197047187,1.0251879332669782,20726,4000
tail drift α 2.0→1.2,24,kupd_2000,18.447646916915954,1.0203199133929042,20726,4000
tail drift α 2.0→1.2,25,genie,17.62648435550676,1.0,20039,4000
tail drift α 2.0→1.2,25,fcfs,71.16763610958633,4.037540026372449,20039,4000
tail drift α 2.0→1.2,25,static,17.932599930136234,1.0173667969434776,20039,4000
tail drift α 2.0→1.2,25,kupd_50,18.36955686411498,1.0421565919568114,20039,4000
tail drift α 2.0→1.2,25,kupd_200,17.973496681471133,1.0196869845946313,20039,4000
tail drift α 2.0→1.2,25,kupd_500,17.82387943510155,1.0111987776809912,20039,4000
tail drift α 2.0→1.2,25,kupd_2000,17.579634213284095,0.9973420597506711,20039,4000
tail drift α 2.0→1.2,30,genie,18.428881865284975,1.0,19300,4000
tail drift α 2.0→1.2,30,fcfs,48.29166373056995,2.62043373459018,19300,4000
tail drift α 2.0→1.2,30,static,18.423146632124354,0.999688791039926,19300,4000
tail drift α 2.0→1.2,30,kupd_50,18.75087098445596,1.0174719834618684,19300,4000
tail drift α 2.0→1.2,30,kupd_200,19.144925388601035,1.0388544203902512,19300,4000
tail drift α 2.0→1.2,30,kupd_500,18.65466010362694,1.0122513259346066,19300,4000
tail drift α 2.0→1.2,30,kupd_2000,18.367156994818654,0.9966506448455458,19300,4000
tail drift α 2.0→1.2,29,genie,17.70501306419386,1.0,19519,4000
tail drift α 2.0→1.2,29,fcfs,58.2422224499206,3.289589351826466,19519,4000
tail drift α 2.0→1.2,29,static,18.11285567908192,1.023035431457143,19519,4000
tail drift α 2.0→1.2,29,kupd_50,18.54272913571392,1.0473151908153195,19519,4000
tail drift α 2.0→1.2,29,kupd_200,17.994875249756646,1.0163717577903963,19519,4000
tail drift α 2.0→1.2,29,kupd_500,17.90811773144116,1.0114715909279983,19519,4000
tail drift α 2.0→1.2,29,kupd_2000,17.845564834264053,1.007938529588235,19519,4000
tail drift α 2.0→1.2,26,genie,19.492190642557006,1.0,21181,4000
tail drift α 2.0→1.2,26,fcfs,83.76823993201454,4.297528249550597,21181,4000
tail drift α 2.0→1.2,26,static,20.207527973183513,1.0366986627487995,21181,4000
tail drift α 2.0→1.2,26,kupd_50,20.566636608281005,1.055121868312645,21181,4000
tail drift α 2.0→1.2,26,kupd_200,20.0088050611397,1.0265036612896028,21181,4000
tail drift α 2.0→1.2,26,kupd_500,20.192021151031582,1.035903122502129,21181,4000
tail drift α 2.0→1.2,26,kupd_2000,19.92552051366791,1.0222309477193816,21181,4000
tail drift α 2.0→1.2,28,genie,16.234229484029484,1.0,20350,4000
tail drift α 2.0→1.2,28,fcfs,58.95765012285013,3.6316876129446154,20350,4000
tail drift α 2.0→1.2,28,static,16.80837641277641,1.0353664415863868,20350,4000
tail drift α 2.0→1.2,28,kupd_50,17.102453071253073,1.0534810468262574,20350,4000
tail drift α 2.0→1.2,28,kupd_200,16.57450073710074,1.020960111066928,20350,4000
tail drift α 2.0→1.2,28,kupd_500,16.55999656019656,1.0200666792647937,20350,4000
tail drift α 2.0→1.2,28,kupd_2000,16.454730712530715,1.0135824880828592,20350,4000
tail drift α 2.0→1.2,27,genie,16.55060620424501,1.0,18987,4000
tail drift α 2.0→1.2,27,fcfs,54.63458313582978,3.301062357571938,18987,4000
tail drift α 2.0→1.2,27,static,17.18458629588666,1.0383055510969166,18987,4000
tail drift α 2.0→1.2,27,kupd_50,17.22481908674356,1.040736446398297,18987,4000
tail drift α 2.0→1.2,27,kupd_200,16.882683414968138,1.0200643533309344,18987,4000
tail drift α 2.0→1.2,27,kupd_500,16.729027229156795,1.0107803317117183,18987,4000
tail drift α 2.0→1.2,27,kupd_2000,16.595163532943594,1.0026921871107752,18987,4000
tail drift α 2.0→1.2,31,genie,16.394066820896327,1.0,18587,4000
tail drift α 2.0→1.2,31,fcfs,54.806177973852705,3.343049566200087,18587,4000
tail drift α 2.0→1.2,31,static,16.944878140635932,1.0335982112161166,18587,4000
tail drift α 2.0→1.2,31,kupd_50,17.53190939904234,1.069405754568213,18587,4000
tail drift α 2.0→1.2,31,kupd_200,17.069259159627695,1.0411851644932146,18587,4000
tail drift α 2.0→1.2,31,kupd_500,16.77034755474256,1.0229522508330036,18587,4000
tail drift α 2.0→1.2,31,kupd_2000,16.6553854844784,1.01593983155229,18587,4000
tail drift α 2.0→1.2,32,genie,17.366551055057,1.0,20615,4000
tail drift α 2.0→1.2,32,fcfs,59.26247004608294,3.4124490152479754,20615,4000
tail drift α 2.0→1.2,32,static,18.10060004850837,1.0422679777420527,20615,4000
tail drift α 2.0→1.2,32,kupd_50,18.186055784622848,1.047188686283637,20615,4000
tail drift α 2.0→1.2,32,kupd_200,17.964027649769587,1.0344038717197452,20615,4000
tail drift α 2.0→1.2,32,kupd_500,17.77217754062576,1.0233567669413925,20615,4000
tail drift α 2.0→1.2,32,kupd_2000,17.610111569245696,1.0140246911097397,20615,4000
tail drift α 2.0→1.2,33,genie,16.99922602636724,1.0,19949,4000
tail drift α 2.0→1.2,33,fcfs,57.624389192440724,3.3898242839444817,19949,4000
tail drift α 2.0→1.2,33,static,18.24360669707755,1.073202195722333,19949,4000
tail drift α 2.0→1.2,33,kupd_50,18.463049776931175,1.0861111999036557,19949,4000
tail drift α 2.0→1.2,33,kupd_200,17.285970725349642,1.0168681032029128,19949,4000
tail drift α 2.0→1.2,33,kupd_500,17.18668304175648,1.0110273853114535,19949,4000
tail drift α 2.0→1.2,33,kupd_2000,17.071062709910272,1.004225879662498,19949,4000
tail drift α 2.0→1.2,34,genie,18.201480807981522,1.0,20347,4000
tail drift α 2.0→1.2,34,fcfs,68.70134024671941,3.7744918103912304,20347,4000
tail drift α 2.0→1.2,34,static,18.727338182533053,1.0288909116845557,20347,4000
tail drift α 2.0→1.2,34,kupd_50,19.47152995527596,1.0697772428899033,20347,4000
tail drift α 2.0→1.2,34,kupd_200,18.809359119280487,1.0333971899161305,20347,4000
tail drift α 2.0→1.2,34,kupd_500,18.353754361822382,1.0083659980991264,20347,4000
tail drift α 2.0→1.2,34,kupd_2000,18.173544502875117,0.9984651630600212,20347,4000
tail drift α 2.0→1.2,35,genie,18.168126331739195,1.0,21119,4000
tail drift α 2.0→1.2,35,fcfs,58.34773095317013,3.2115436610124357,21119,4000
tail drift α 2.0→1.2,35,static,18.684768691699418,1.028436744137873,21119,4000
tail drift α 2.0→1.2,35,kupd_50,19.488732421042666,1.072688072792427,21119,4000
tail drift α 2.0→1.2,35,kupd_200,18.828089398172263,1.0363253235024095,21119,4000
tail drift α 2.0→1.2,35,kupd_500,18.52036696813296,1.0193878350448506,21119,4000
tail drift α 2.0→1.2,35,kupd_2000,18.35062739713055,1.010045123094093,21119,4000
tail drift α 2.0→1.2,36,genie,16.851416703974532,1.0,20103,4000
tail drift α 2.0→1.2,36,fcfs,58.844022782669256,3.491933278748632,20103,4000
tail drift α 2.0→1.2,36,static,17.45185444958464,1.0356312917873838,20103,4000
tail drift α 2.0→1.2,36,kupd_50,18.43422524001393,1.0939273275264791,20103,4000
tail drift α 2.0→1.2,36,kupd_200,17.79761677361588,1.0561495858931658,20103,4000
tail drift α 2.0→1.2,36,kupd_500,17.315546435855342,1.0275424755101654,20103,4000
tail drift α 2.0→1.2,36,kupd_2000,17.012521016763664,1.0095602830087949,20103,4000
tail drift α 2.0→1.2,37,genie,16.456370138086594,1.0,18177,4000
tail drift α 2.0→1.2,37,fcfs,56.93631897452825,3.459834610960465,18177,4000
tail drift α 2.0→1.2,37,static,16.826389943334984,1.0224848980755492,18177,4000
tail drift α 2.0→1.2,37,kupd_50,17.677617318589427,1.0742112124517897,18177,4000
tail drift α 2.0→1.2,37,kupd_200,16.989360180447818,1.0323880684433362,18177,4000
tail drift α 2.0→1.2,37,kupd_500,16.928086042801343,1.028664638723883,18177,4000
tail drift α 2.0→1.2,37,kupd_2000,16.596212246245255,1.0084977493204903,18177,4000
tail drift α 2.0→1.2,38,genie,18.849742624257996,1.0,22574,4000
tail drift α 2.0→1.2,38,fcfs,72.38020776114114,3.8398512491090484,22574,4000
tail drift α 2.0→1.2,38,static,18.795997164879953,0.997148743065124,22574,4000
tail drift α 2.0→1.2,38,kupd_50,19.670649862673873,1.0435500502462798,22574,4000
tail drift α 2.0→1.2,38,kupd_200,19.50086161070258,1.0345425929374044,22574,4000
