true_gittins,mean_excess_sample,mean_excess_true,dist,trial,spearman_tail_only|linear|seed0,spearman_tail_only|linear|seed1,spearman_tail_only|linear|seed2,spearman_tail_only|mlp8|seed0
25.429316493911646,26.11077307034316,26.187594243735536,1-6-14,14,0.9988158478936374,0.9988158478936374,0.9988158478936374,0.9942016574377228
26.298024795330807,26.679469035214854,26.691860824944182,1-6-14,15,0.9998357977641197,0.9998357243418479,0.9998357977641197,0.998463558867885
25.858150724163327,26.26815890679977,26.25569900171835,1-6-14,16,0.9987573552313264,0.9987573552313264,0.9987573552313264,0.9937542680756598
26.417922531635288,26.725145532468062,26.7600883553714,1-6-14,17,0.9990046720237662,0.9990046720237662,0.9990046720237662,0.9959076558226658
26.440995514801156,26.76818558756105,26.753301704375563,1-6-14,18,0.9994008941936664,0.9994007256494519,0.9994008941936664,0.9963275876791586
26.553950153021425,26.791673234252798,26.79046626527714,1-6-14,19,0.9993460861011314,0.9993459535254974,0.9993460861011314,0.9959120719485993
26.653107248834257,27.296816062276005,27.170681336467688,bounded-Pareto,0,0.9984917370287488,0.9984911455657065,0.9984916594362332,0.7669093445742392
25.205822230153068,25.911425965580143,25.741017130620985,bounded-Pareto,1,0.9968537222485443,0.9968524932393386,0.9968535774947561,0.7709909141239722
24.804742691775363,25.583168854590447,25.244859078136137,bounded-Pareto,2,0.998233138653541,0.9982324800804878,0.9982330666553402,0.8129191130077548
26.175980780902286,27.1860904309124,26.540139591341294,bounded-Pareto,3,0.9998724168645824,0.9998723705692293,0.9998724115143377,0.9710894711411631
27.20564827975623,28.542919059950542,27.841425456103117,bounded-Pareto,4,0.9990291402476243,0.9990287822851448,0.9990290982741662,0.7065865330338367
26.073396520581806,26.892670405932122,26.65704572678011,bounded-Pareto,5,0.9975909359312709,0.9975900211307048,0.9975908388975033,0.7920444342630019
25.751413874026095,27.172394067398855,26.532927626020843,bounded-Pareto,6,0.9993633234140281,0.9993630910833303,0.9993632964225884,0.891713346484102
24.5170831808013,25.349458002847268,24.957175106772418,bounded-Pareto,7,0.9998656932154312,0.9998656447963764,0.9998656879234356,0.96519194564574
24.65487331970514,25.427233682297796,25.08883520204836,bounded-Pareto,8,0.9993031729166946,0.9993029155663735,0.999303145341796,0.8960234841699048
23.275017798936354,24.118183007376906,23.657732672842688,bounded-Pareto,9,0.9984068775069829,0.9984063059690845,0.9984068103979971,0.35077240604667814
24.66216813882102,25.588919793689573,25.098751278999355,bounded-Pareto,10,0.9987375903671606,0.9987371571715924,0.9987375447305097,0.5581162964532308
26.89960144107439,27.735552851969217,27.37484344348876,bounded-Pareto,11,0.9993667585653615,0.9993665233858093,0.9993667304636318,0.8985305381752164
23.60873663982035,23.995006801546,24.036520847278304,bounded-Pareto,12,0.9989543357064847,0.9989539581701505,0.9989542959055073,0.7998460658643067
26.381913381630117,27.099321147278864,26.557725182099922,bounded-Pareto,13,0.9997124860365284,0.9997123774219239,0.9997124725978584,0.9328134897206356
26.014683789726167,26.787671597041776,26.177747151708974,bounded-Pareto,14,0.9977446603112481,0.9977438171917851,0.9977445291567205,0.7462263847919145
24.31752855099799,25.27768690281261,24.80890874043982,bounded-Pareto,15,0.9991839113849862,0.99918360606747,0.9991838715493103,0.6559484226752746
24.708417718898783,25.47006499689505,25.091896915752432,bounded-Pareto,16,0.9983626290359394,0.9983620240760943,0.9983625591816689,0.7313043720267602
26.496616285321704,27.185941414262107,27.00772766194715,bounded-Pareto,17,0.9971115002544413,0.9971104550108376,0.9971113856590298,0.6626834321632117
27.599485512079443,28.523353898028756,28.245351081962355,bounded-Pareto,18,0.9991471014528843,0.9991467889581808,0.9991470660695516,0.8524259801823212
24.734675821889304,25.631752808988765,25.1696822721598,bounded-Pareto,19,0.9993734529899717,0.9993732239266119,0.9993734267665597,0.8508946985602172
