model,seed,policy,mrt,ratio,n_jobs,n_busy
one-way drift,20,fcfs,30.477387805480127,1.0932002699320749,20255,4000
one-way drift,20,static,30.478119970377684,1.0932265321192658,20255,4000
one-way drift,20,kupd_50,31.43298395457912,1.127476762878535,20255,4000
one-way drift,20,kupd_200,28.691263391755125,1.0291333720837839,20255,4000
one-way drift,20,kupd_500,28.22066057763515,1.0122532140233138,20255,4000
one-way drift,20,kupd_2000,28.014450259195257,1.0048566097860985,20255,4000
one-way drift,23,genie,27.439475353831135,1.0,20490,4000
one-way drift,23,fcfs,30.335361639824306,1.1055372323505028,20490,4000
one-way drift,23,static,31.290595900439243,1.1403496421468717,20490,4000
one-way drift,23,kupd_50,30.769494387506104,1.1213586991272422,20490,4000
one-way drift,23,kupd_200,28.498530990727186,1.0385960599916566,20490,4000
one-way drift,23,kupd_500,27.889616886285992,1.0164048884554204,20490,4000
one-way drift,23,kupd_2000,27.585813079551002,1.0053331094648439,20490,4000
one-way drift,26,genie,23.454170952860704,1.0,18859,4000
one-way drift,26,fcfs,25.90986425579299,1.1047017738494298,18859,4000
one-way drift,26,static,26.007578874807788,1.1088679675388673,18859,4000
one-way drift,26,kupd_50,25.49633172490588,1.0870702603877838,18859,4000
one-way drift,26,kupd_200,24.064445622779576,1.0260198781336347,18859,4000
one-way drift,26,kupd_500,23.70420064690599,1.0106603509690368,18859,4000
one-way drift,26,kupd_2000,23.556165226151972,1.0043486624829443,18859,4000
one-way drift,24,genie,26.5004637415278,1.0,19623,4000
one-way drift,24,fcfs,29.143896448045663,1.0997504320037783,19623,4000
one-way drift,24,static,29.143896448045663,1.0997504320037783,19623,4000
one-way drift,24,kupd_50,29.532130662997503,1.114400523365895,19623,4000
one-way drift,24,kupd_200,27.533484686337463,1.0389812402864051,19623,4000
one-way drift,24,kupd_500,26.821313254853997,1.0121073169305868,19623,4000
one-way drift,24,kupd_2000,26.59590072873669,1.0036013327215605,19623,4000
one-way drift,25,genie,28.129758449447955,1.0,20741,4000
one-way drift,25,fcfs,31.256983269851982,1.1111714068225638,20741,4000
one-way drift,25,static,31.645417289426742,1.1249800579090212,20741,4000
one-way drift,25,kupd_50,32.9807540620028,1.17245066719192,20741,4000
one-way drift,25,kupd_200,28.937367050769012,1.0287101150467541,20741,4000
one-way drift,25,kupd_500,28.52157417675136,1.0139288692438486,20741,4000
one-way drift,25,kupd_2000,28.2190796007907,1.0031753259276386,20741,4000
one-way drift,31,genie,27.725682203812756,1.0,20038,4000
one-way drift,31,fcfs,30.18979089729514,1.0888745919890666,20038,4000
one-way drift,31,static,30.52538975945703,1.1009788518480266,20038,4000
one-way drift,31,kupd_50,30.740066373889615,1.1087217312785302,20038,4000
one-way drift,31,kupd_200,28.453885118275274,1.0262645625492446,20038,4000
one-way drift,31,kupd_500,28.008890607845096,1.0102146595330086,20038,4000
one-way drift,31,kupd_2000,27.908148018764347,1.0065811118229762,20038,4000
one-way drift,33,genie,24.41665750092539,1.0,18911,4000
one-way drift,33,fcfs,27.263943736449686,1.1166124493254814,18911,4000
one-way drift,33,static,27.705624239860402,1.134701760009959,18911,4000
one-way drift,33,kupd_50,27.230726032467878,1.1152519967745722,18911,4000
one-way drift,33,kupd_200,25.202997726191107,1.03220507250986,18911,4000
one-way drift,33,kupd_500,24.784247263497438,1.0150548764734943,18911,4000
one-way drift,33,kupd_2000,24.4944397440643,1.003185622075256,18911,4000
one-way drift,29,genie,25.931963858488164,1.0,19645,4000
one-way drift,29,fcfs,28.51273759226266,1.0995209521291134,19645,4000
one-way drift,29,static,28.84170374141003,1.112206692050029,19645,4000
one-way drift,29,kupd_50,29.187670145075085,1.1255480033966363,19645,4000
one-way drift,29,kupd_200,26.684731483838124,1.0290285621813235,19645,4000
one-way drift,29,kupd_500,26.24182743700687,1.0119490980401502,19645,4000
one-way drift,29,kupd_2000,26.089282260117077,1.0060665826347517,19645,4000
one-way drift,30,genie,28.80717524569427,1.0,20554,4000
one-way drift,30,fcfs,31.28526856086406,1.0860234748473017,20554,4000
one-way drift,30,static,31.612073075800332,1.0973680274509143,20554,4000
one-way drift,30,kupd_50,32.69400408679576,1.1349257193026046,20554,4000
one-way drift,30,kupd_200,29.623118614381628,1.0283243102361908,20554,4000
one-way drift,30,kupd_500,29.255162985307003,1.0155512554004993,20554,4000
one-way drift,30,kupd_2000,28.880455872336285,1.0025438324312261,20554,4000
one-way drift,32,genie,25.02021551291068,1.0,19906,4000
one-way drift,32,fcfs,27.87892344016879,1.1142559274033026,19906,4000
one-way drift,32,static,27.879055058776245,1.1142611878938602,19906,4000
one-way drift,32,kupd_50,27.434098261830606,1.0964772964355298,19906,4000
one-way drift,32,kupd_200,25.75887772530895,1.0295226159030129,19906,4000
one-way drift,32,kupd_500,25.273633075454637,1.0101285123788477,19906,4000
one-way drift,32,kupd_2000,25.173917411835628,1.0061431085134194,19906,4000
one-way drift,28,genie,27.333297470194825,1.0,20634,4000
one-way drift,28,fcfs,30.191538722496848,1.1045699391161548,20634,4000
one-way drift,28,static,30.550433265484152,1.1177002445020547,20634,4000
one-way drift,28,kupd_50,30.289023941068137,1.1081364761824415,20634,4000
one-way drift,28,kupd_200,28.291610448773874,1.0350602769250226,20634,4000
one-way drift,28,kupd_500,27.67563051274595,1.0125243960383636,20634,4000
one-way drift,28,kupd_2000,27.464031210623247,1.0047829479985346,20634,4000
one-way drift,27,genie,27.090458992805758,1.0,20850,4000
one-way drift,27,fcfs,29.94411990407674,1.1053382267177094,20850,4000
one-way drift,27,static,29.992116067146288,1.1071099266022442,20850,4000
one-way drift,27,kupd_50,30.51307386091127,1.1263402317773366,20850,4000
one-way drift,27,kupd_200,28.16003836930456,1.0394817738888382,20850,4000
one-way drift,27,kupd_500,27.503123741007194,1.0152328444605174,20850,4000
one-way drift,27,kupd_2000,27.15155635491607,1.002255309226268,20850,4000
one-way drift,34,genie,26.665827594627597,1.0,20475,4000
one-way drift,34,fcfs,29.63850891330891,1.111479057161542,20475,4000
one-way drift,34,static,29.822716483516484,1.1183870584059767,20475,4000
one-way drift,34,kupd_50,29.765003174603176,1.1162227412210515,20475,4000
