model,seed,policy,mrt,ratio,n_jobs,n_busy
T=100,15,kupd_500,26.06392959476054,1.0351816732685581,12215,2500
T=100,15,kupd_2000,25.886683585755215,1.0281419895740782,12215,2500
T=100,17,genie,25.75569250217271,1.0,12657,2500
T=100,17,fcfs,27.95196097021411,1.08527312817763,12657,2500
T=100,17,static,26.93951094256143,1.0459633706330689,12657,2500
T=100,17,kupd_50,28.23054436280319,1.0960895095490717,12657,2500
T=100,17,kupd_200,27.321803744963262,1.060806411734355,12657,2500
T=100,17,kupd_500,26.745542387611597,1.0384322761018903,12657,2500
T=100,17,kupd_2000,26.433908509125384,1.026332664396248,12657,2500
T=100,18,genie,25.712829973063425,1.0,12251,2500
T=100,18,fcfs,27.46089053954779,1.067983981861025,12251,2500
T=100,18,static,26.860769733083018,1.044644629207371,12251,2500
T=100,18,kupd_50,28.72933801322341,1.1173152874778878,12251,2500
T=100,18,kupd_200,26.80199493918864,1.0423588133731765,12251,2500
T=100,18,kupd_500,26.39731858623786,1.02662050866791,12251,2500
T=100,18,kupd_2000,26.191676597828746,1.0186228674660454,12251,2500
T=100,19,genie,27.807627609325007,1.0,13126,2500
T=100,19,fcfs,29.626908426024688,1.0654238053766802,13126,2500
T=100,19,static,29.243697242114887,1.051643011513442,13126,2500
T=100,19,kupd_50,31.134459850678045,1.1196373990651909,13126,2500
T=100,19,kupd_200,29.514658692671038,1.0613871527383945,13126,2500
T=100,19,kupd_500,28.921362943775712,1.0400514330131934,13126,2500
T=100,19,kupd_2000,28.558519731829957,1.0270030990437007,13126,2500
T=500,0,genie,26.34123951906344,1.0,12642,2500
T=500,0,fcfs,29.05510757791489,1.103027348310143,12642,2500
T=500,0,static,27.570903338079418,1.046682078803697,12642,2500
T=500,0,kupd_50,30.4568992248062,1.1562439650102347,12642,2500
T=500,0,kupd_200,27.276915045087804,1.0355213172617488,12642,2500
T=500,0,kupd_500,27.093561936402466,1.0285606308235633,12642,2500
T=500,0,kupd_2000,27.360631229235878,1.038699458673336,12642,2500
T=500,2,genie,27.18715990453461,1.0,13408,2500
T=500,2,fcfs,29.466840692124105,1.0838513767379307,13408,2500
T=500,2,static,28.758809665871123,1.0578085304553777,13408,2500
T=500,2,kupd_50,30.50414677804296,1.122005641087766,13408,2500
T=500,2,kupd_200,28.12285948687351,1.034416966892626,13408,2500
T=500,2,kupd_500,27.752009994033415,1.0207763551427302,13408,2500
T=500,2,kupd_2000,28.67221807875895,1.0546235126963976,13408,2500
T=500,1,genie,27.26259796492748,1.0,13857,2500
T=500,1,fcfs,29.83728729162156,1.0944403512096075,13857,2500
T=500,1,static,29.094723966226454,1.067202913077321,13857,2500
T=500,1,kupd_50,30.303645810781553,1.1115465169448007,13857,2500
T=500,1,kupd_200,28.528011113516637,1.0464157212829486,13857,2500
T=500,1,kupd_500,28.092699718553803,1.0304483730675347,13857,2500
T=500,1,kupd_2000,28.31222775492531,1.0385007251087424,13857,2500
T=500,3,genie,27.338331546707504,1.0,13060,2500
T=500,3,fcfs,29.39856049004594,1.0753604491122122,13060,2500
T=500,3,static,28.599241960183765,1.0461224347697298,13060,2500
T=500,3,kupd_50,30.21457197549771,1.1052090696857688,13060,2500
T=500,3,kupd_200,28.189786370597243,1.031145091002903,13060,2500
T=500,3,kupd_500,27.924252679938743,1.021432219893529,13060,2500
T=500,3,kupd_2000,28.69802986217458,1.0497359655304506,13060,2500
T=500,6,genie,25.872130093520376,1.0,11976,2500
T=500,6,fcfs,28.442656980627923,1.099355054176669,11976,2500
T=500,6,static,26.90986305945224,1.0401100706505708,11976,2500
T=500,6,kupd_50,29.09925851703407,1.1247337738272243,11976,2500
T=500,6,kupd_200,26.644919839679357,1.0298695833456915,11976,2500
T=500,6,kupd_500,26.514002171008684,1.0248094020541842,11976,2500
T=500,6,kupd_2000,26.659454742818973,1.030431381044106,11976,2500
T=500,4,genie,26.6151289215295,1.0,12527,2500
T=500,4,fcfs,28.467800750379183,1.0696097258935695,12527,2500
T=500,4,static,27.705717250738406,1.0409762557387692,12527,2500
T=500,4,kupd_50,29.192956015007585,1.0968557056807202,12527,2500
T=500,4,kupd_200,27.20460764748144,1.0221482573948795,12527,2500
T=500,4,kupd_500,26.97379899417259,1.0134761726573098,12527,2500
T=500,4,kupd_2000,27.665314121497566,1.0394582045070822,12527,2500
T=500,5,genie,27.838565083189042,1.0,13283,2500
T=500,5,fcfs,30.47972521267786,1.0948741474855592,13283,2500
T=500,5,static,29.544241511706694,1.0612702710581754,13283,2500
T=500,5,kupd_50,33.13526838816532,1.1902649539999033,13283,2500
T=500,5,kupd_200,29.235758488293307,1.0501891315493121,13283,2500
T=500,5,kupd_500,28.879538507867203,1.0373932141102624,13283,2500
T=500,5,kupd_2000,28.755912820898896,1.032952407387686,13283,2500
T=500,10,genie,23.491060672578804,1.0,11389,2500
T=500,10,fcfs,25.465189217666172,1.084037437585429,11389,2500
T=500,10,static,24.338365089121083,1.0360692277097279,11389,2500
T=500,10,kupd_50,26.224593906400916,1.1163648279625353,11389,2500
T=500,10,kupd_200,24.44727192905435,1.040705324880955,11389,2500
T=500,10,kupd_500,23.935711651593643,1.0189285186059682,11389,2500
T=500,10,kupd_2000,24.196105013609625,1.0300133038204538,11389,2500
T=500,7,genie,25.878645418326695,1.0,12801,2500
T=500,7,fcfs,28.31694242637294,1.094220426480263,12801,2500
T=500,7,static,27.04587063510663,1.045103798823772,12801,2500
T=500,7,kupd_50,28.62814311381923,1.1062458119830878,12801,2500
T=500,7,kupd_200,26.907334583235688,1.0397505027129625,12801,2500
T=500,7,kupd_500,26.356690883524724,1.018472584537191,12801,2500
T=500,7,kupd_2000,26.74579642215452,1.0335083614234974,12801,2500
T=500,9,genie,26.503774726172963,1.0,12234,2500
T=500,9,fcfs,29.046257152198788,1.0959290686814915,12234,2500
T=500,9,static,27.235795324505474,1.027619484616643,12234,2500
T=500,9,kupd_50,30.260958803334965,1.1417603385170534,12234,2500
T=500,9,kupd_200,27.74602174268432,1.0468705695451228,12234,2500
T=500,9,kupd_500,27.219981199934608,1.0270228101906698,12234,2500
T=500,9,kupd_2000,27.125550106261244,1.0234598802062058,12234,2500
T=500,8,genie,27.43352858918583,1.0,12872,2500
T=500,8,fcfs,29.392868241143567,1.0714213501769547,12872,2500
