dist,rho,n,trial,ell,empirical,truncated,true_paired,true_gittins,fcfs,plcfs
1-6-14,0.98,10,74,15.33,320.8740940625328,320.8740940625328,261.2744171929359,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,75,14.15,1785.9558124262317,1785.9558124262317,271.2534226352138,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,60,14.92,409.98288258903773,409.98288258903773,231.65599667888705,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,61,13.85,1706.0701802321773,1706.0701802321773,233.26180043881192,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,62,14.43,1217.863654170401,1217.863654170401,260.00202900307124,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,63,14.02,1598.581136457558,1598.581136457558,235.92163230602824,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,52,14.32,1370.5921880497042,1370.5921880497042,255.8399009960586,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,53,14.52,858.6379173649113,858.6379173649113,252.24017596008946,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,54,14.370000000000001,964.404641349963,964.404641349963,224.34782553234928,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,55,14.1,1673.6210394215823,1673.6210394215823,250.35309120230158,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,84,13.74,1727.7626103644263,1727.7626103644263,232.65719340755396,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,85,14.76,568.6965543570246,568.6965543570246,255.75257512265836,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,86,13.94,1576.7520306685467,1576.7520306685467,226.1006275600302,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,87,15.5,265.1176553334961,265.1176553334961,223.419600445213,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,64,13.24,1615.9912935341033,1615.9912935341033,244.63756883007372,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,65,14.01,1782.3677916404897,1782.3677916404897,250.14935749011724,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,66,14.530000000000001,760.576305988571,760.576305988571,231.02674502168935,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,67,14.61,865.68650079231,865.68650079231,266.67774819079307,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,92,14.85,499.52643049877906,499.52643049877906,263.74323293192646,246.59908642224494,279.7048335461678,352.8057550150208
