dist,rho,n,trial,ell,empirical,truncated,true_gittins,fcfs,plcfs,true_paired
1-6-14,0.8,10,39,6.11,34.81029448214813,36.28121235369333,27.02858317223873,29.31315334077942,35.28057550150213,26.554739254450674
1-6-14,0.8,10,40,13.89,35.63226322696911,52.03744784627138,27.02858317223873,29.31315334077942,35.28057550150213,26.78628782981724
1-6-14,0.8,10,41,13.97,47.609389125842064,51.56224159923467,27.02858317223873,29.31315334077942,35.28057550150213,26.504795113006733
1-6-14,0.8,10,42,13.72,54.406682574257424,57.49178415841585,27.02858317223873,29.31315334077942,35.28057550150213,27.410385148514855
1-6-14,0.8,10,43,13.76,34.58550321241087,57.53794973752253,27.02858317223873,29.31315334077942,35.28057550150213,27.404080741205043
1-6-14,0.8,10,44,13.77,47.59226270591635,50.668189793980424,27.02858317223873,29.31315334077942,35.28057550150213,25.86142541596136
1-6-14,0.8,10,45,5.75,60.34069829991368,38.62877360952209,27.02858317223873,29.31315334077942,35.28057550150213,26.545468176070333
1-6-14,0.8,10,46,13.93,32.87948484431244,51.94099510218533,27.02858317223873,29.31315334077942,35.28057550150213,27.478092015971995
1-6-14,0.8,10,47,7.31,36.537731986011714,32.872323926480156,27.02858317223873,29.31315334077942,35.28057550150213,25.602219827586207
1-6-14,0.8,10,48,14.6,27.631714436694143,31.032806806172054,27.02858317223873,29.31315334077942,35.28057550150213,25.21273536250264
1-6-14,0.8,10,49,13.61,31.828159131293187,58.4149228035538,27.02858317223873,29.31315334077942,35.28057550150213,26.757842053307012
1-6-14,0.8,10,50,14.02,32.738800167140894,49.8335921364188,27.02858317223873,29.31315334077942,35.28057550150213,26.893955468889907
1-6-14,0.8,10,51,14.17,34.00411687051058,45.02954766064842,27.02858317223873,29.31315334077942,35.28057550150213,27.603925257231605
1-6-14,0.8,10,52,14.33,35.04223724087768,38.71426637572231,27.02858317223873,29.31315334077942,35.28057550150213,25.933065220026673
1-6-14,0.8,10,53,14.02,51.80058998898637,56.640007975390226,27.02858317223873,29.31315334077942,35.28057550150213,29.15694732444647
1-6-14,0.8,10,54,13.35,54.8061875,57.28956352796053,27.02858317223873,29.31315334077942,35.28057550150213,26.003189555921058
1-6-14,0.8,10,55,13.46,51.804868293487914,55.97976030858723,27.02858317223873,29.31315334077942,35.28057550150213,26.1330543121764
1-6-14,0.8,10,56,14.8,26.31065603617302,28.760325917330235,27.02858317223873,29.31315334077942,35.28057550150213,26.202461886279064
1-6-14,0.8,10,57,14.25,31.737404898811107,38.29509893797704,27.02858317223873,29.31315334077942,35.28057550150213,25.83955452331744
1-6-14,0.8,10,58,13.71,35.99117661174212,54.74129099344105,27.02858317223873,29.31315334077942,35.28057550150213,26.557034874420097
1-6-14,0.8,10,59,12.97,36.800366089424536,58.98773785529185,27.02858317223873,29.31315334077942,35.28057550150213,26.39345789971618
1-6-14,0.8,10,60,14.3,28.355492660345565,38.085225874566014,27.02858317223873,29.31315334077942,35.28057550150213,26.72369581548332
1-6-14,0.8,10,61,6.49,59.501466136737726,35.33023084025854,27.02858317223873,29.31315334077942,35.28057550150213,27.16866052430849
1-6-14,0.8,10,62,13.71,38.763830675092784,55.90073307252483,27.02858317223873,29.31315334077942,35.28057550150213,27.04227685826061
1-6-14,0.8,10,63,14.75,28.00068169998544,28.739942584926464,27.02858317223873,29.31315334077942,35.28057550150213,25.61042770069273
1-6-14,0.8,10,64,14.69,28.190452509777696,30.385770968853222,27.02858317223873,29.31315334077942,35.28057550150213,26.46018197661459
1-6-14,0.8,10,65,14.06,44.77815455068097,51.63239279979383,27.02858317223873,29.31315334077942,35.28057550150213,26.71014194239042
1-6-14,0.8,10,66,14.08,36.730166448583745,50.19934094057881,27.02858317223873,29.31315334077942,35.28057550150213,28.332952008928572
1-6-14,0.8,10,67,14.58,32.50985893293404,34.6710536685318,27.02858317223873,29.31315334077942,35.28057550150213,28.27214989360864
1-6-14,0.8,10,68,6.3,49.25347740472591,34.57613771978677,27.02858317223873,29.31315334077942,35.28057550150213,26.04950334155462
1-6-14,0.8,10,69,14.04,38.40322052777609,54.014936711424355,27.02858317223873,29.31315334077942,35.28057550150213,28.072221277112824
1-6-14,0.8,10,70,14.25,39.448086802660214,41.15822327076003,27.02858317223873,29.31315334077942,35.28057550150213,26.438602371412884
1-6-14,0.8,10,71,13.77,49.49261456603925,56.26512791790851,27.02858317223873,29.31315334077942,35.28057550150213,27.100639289500535
1-6-14,0.8,10,72,13.06,45.26973384333412,60.52536078571998,27.02858317223873,29.31315334077942,35.28057550150213,26.774631643955697
1-6-14,0.8,10,73,13.87,42.08638873363143,56.221943668157145,27.02858317223873,29.31315334077942,35.28057550150213,26.908776948259344
1-6-14,0.8,10,74,14.3,36.00713756559316,37.532913880028815,27.02858317223873,29.31315334077942,35.28057550150213,26.317506533593992
1-6-14,0.8,10,75,13.82,54.867374512814465,54.867374512814465,27.02858317223873,29.31315334077942,35.28057550150213,26.96443742372348
1-6-14,0.8,10,76,14.52,29.56598489238824,34.24874922563498,27.02858317223873,29.31315334077942,35.28057550150213,27.60461181830899
1-6-14,0.8,10,77,13.98,40.30198704792269,52.66458244495368,27.02858317223873,29.31315334077942,35.28057550150213,26.792959051509413
1-6-14,0.8,10,78,14.36,33.46158214183877,36.627817019023176,27.02858317223873,29.31315334077942,35.28057550150213,25.798786508615425
1-6-14,0.8,10,79,14.83,30.076232750320926,31.17405206996149,27.02858317223873,29.31315334077942,35.28057550150213,27.460668324775355
1-6-14,0.8,10,80,13.99,41.76664675680651,44.37289504367214,27.02858317223873,29.31315334077942,35.28057550150213,25.506716918608216
1-6-14,0.8,10,81,13.72,45.912748493826186,56.63149702741932,27.02858317223873,29.31315334077942,35.28057550150213,26.229610482572127
1-6-14,0.8,10,82,14.52,36.1816282388437,36.43520722483843,27.02858317223873,29.31315334077942,35.28057550150213,26.77970378977841
1-6-14,0.8,10,83,14.3,41.425617623298066,42.90987842604087,27.02858317223873,29.31315334077942,35.28057550150213,27.843664558333824
1-6-14,0.8,10,84,13.92,38.075893610516665,47.86617629674921,27.02858317223873,29.31315334077942,35.28057550150213,25.979445837154795
1-6-14,0.8,10,85,13.89,39.199665504248834,54.75554753888087,27.02858317223873,29.31315334077942,35.28057550150213,27.51749739458073
1-6-14,0.8,10,86,14.07,31.16178117205698,42.31888607177457,27.02858317223873,29.31315334077942,35.28057550150213,25.35205491311607
1-6-14,0.8,10,87,13.92,40.52856756971479,54.05551163899262,27.02858317223873,29.31315334077942,35.28057550150213,26.898101414157463
1-6-14,0.8,10,88,14.57,28.82624680010482,33.29230634335127,27.02858317223873,29.31315334077942,35.28057550150213,26.64205095644111
1-6-14,0.8,10,89,13.33,41.25105556923582,54.9682793646885,27.02858317223873,29.31315334077942,35.28057550150213,25.755740170729705
1-6-14,0.8,10,90,15.03,30.689373819215863,31.31318816586487,27.02858317223873,29.31315334077942,35.28057550150213,27.36878620259821
