gen,best,pop_mean,sigma,seed,val,tier,arch
35,0.8200048646924437,0.8207084433939654,15.08435162271091,0,,tail_only,linear
36,0.824044375427041,0.8243658044814268,14.739943074374349,0,,tail_only,linear
37,0.8157939936318157,0.8161454001452602,14.045075924440305,0,,tail_only,linear
38,0.821455409960133,0.822167209997902,16.639152040667533,0,,tail_only,linear
39,0.8117762291359099,0.8120208763029508,16.387236723107016,0,,tail_only,linear
40,0.8203997545258319,0.8205561098742842,13.492509649323578,0,0.813407050207736,tail_only,linear
41,0.813491613799642,0.8136408011820708,15.868095042106884,0,,tail_only,linear
42,0.8163048549691942,0.8165329798093964,14.44206025596996,0,,tail_only,linear
43,0.8168047831908669,0.8169571741633066,19.485653222637016,0,,tail_only,linear
44,0.8149146098117859,0.815106707325004,25.933032778560772,0,,tail_only,linear
45,0.8081042161568064,0.8088899509095288,25.10931073928387,0,,tail_only,linear
46,0.8203912064135949,0.8210264891426591,23.105370639910916,0,,tail_only,linear
47,0.8167321676761365,0.8167986023170285,22.688101711318627,0,,tail_only,linear
48,0.8162589714659398,0.8163849061915145,21.3899941713005,0,,tail_only,linear
49,0.8246121260310787,0.824977338474878,21.737076807838893,0,,tail_only,linear
50,0.8180998618244164,0.8182882073130602,18.163557251769028,0,0.8133965798424219,tail_only,linear
51,0.8177741765601536,0.8178117368429851,15.563966298185033,0,,tail_only,linear
52,0.8183255511327816,0.81836886194693,16.13026389353201,0,,tail_only,linear
53,0.820342388512794,0.8203995243282095,18.9895972223424,0,,tail_only,linear
54,0.8144999987579222,0.8146191573481172,21.002552391367423,0,,tail_only,linear
55,0.8093609838461455,0.809389971625986,19.97280514488443,0,,tail_only,linear
56,0.828148346956036,0.8281721938195435,21.391015058545957,0,,tail_only,linear
57,0.8158388159617637,0.8158635455845039,23.60085722169713,0,,tail_only,linear
58,0.822297078789094,0.8223186156264483,25.658394043261605,0,,tail_only,linear
59,0.806362188530929,0.8063892899973808,30.990227977928356,0,,tail_only,linear
60,0.8168695173287817,0.8169107418415333,36.46032961015284,0,0.8134286570086352,tail_only,linear
61,0.81826798755182,0.8183095928970853,35.56663599423949,0,,tail_only,linear
62,0.8120662493795703,0.8121313034068307,35.552306803289774,0,,tail_only,linear
63,0.810164958587773,0.8102442903405552,39.770224320434735,0,,tail_only,linear
64,0.8178236473606828,0.8178393000513327,39.41402521131373,0,,tail_only,linear
65,0.8172156079365633,0.8172497696871852,36.15832860069624,0,,tail_only,linear
66,0.8134425427860653,0.8134511595118283,45.50747435897053,0,,tail_only,linear
67,0.8151085642417599,0.8151136657711956,39.03346671878554,0,,tail_only,linear
68,0.8147801753263701,0.8148840976464053,33.861657210330115,0,,tail_only,linear
